股票代码,股票名称,阶段,类型,总收益,最大回撤,买入价格,卖出价格
34,神州数码,牛市,一直持有,2.94,21.97,41.8,43.03
34,神州数码,震荡,一直持有,16.07,29.97,34.9,40.51
34,神州数码,熊市,一直持有,-18.77,30.42,30.0,24.37
703,恒逸石化,牛市,一直持有,9.84,7.29,6.1,6.7
703,恒逸石化,震荡,一直持有,-5.34,10.69,6.37,6.03
703,恒逸石化,熊市,一直持有,-26.64,27.31,7.62,5.59
807,云铝股份,牛市,一直持有,50.85,10.34,15.24,22.99
807,云铝股份,震荡,一直持有,23.43,18.19,14.3,17.65
807,云铝股份,熊市,一直持有,-24.47,27.28,15.2,11.48
2273,水晶光电,牛市,一直持有,25.84,16.93,19.85,24.98
2273,水晶光电,震荡,一直持有,-0.35,17.02,22.77,22.69
2273,水晶光电,熊市,一直持有,3.91,24.12,15.08,15.67
2432,九安医疗,牛市,一直持有,7.11,10.97,37.81,40.5
2432,九安医疗,震荡,一直持有,-8.02,17.84,46.39,42.67
2432,九安医疗,熊市,一直持有,-3.29,11.07,42.5,41.1
2466,天齐锂业,牛市,一直持有,85.55,11.38,28.78,53.4
2466,天齐锂业,震荡,一直持有,-14.26,29.21,35.63,30.55
2466,天齐锂业,熊市,一直持有,-26.62,35.36,37.75,27.7
2607,中公教育,牛市,一直持有,-10.23,15.19,3.03,2.72
2607,中公教育,震荡,一直持有,-9.43,30.48,3.5,3.17
2607,中公教育,熊市,一直持有,-29.5,47.55,2.61,1.84
300394,天孚通信,牛市,一直持有,126.54,34.02,69.75,158.01
300394,天孚通信,震荡,一直持有,-33.2,39.24,126.05,84.2
300394,天孚通信,熊市,一直持有,-47.06,51.08,139.08,73.63
300750,宁德时代,牛市,一直持有,66.2,12.66,233.91,388.77
300750,宁德时代,震荡,一直持有,1.03,13.0,246.53,249.06
300750,宁德时代,熊市,一直持有,-8.61,17.95,207.2,189.35
600519,贵州茅台,牛市,一直持有,-8.27,14.18,1559.0,1430.01
600519,贵州茅台,震荡,一直持有,2.3,14.88,1521.0,1556.02
600519,贵州茅台,熊市,一直持有,-22.29,21.88,1717.99,1335.06
600522,中天科技,牛市,一直持有,21.85,15.5,13.91,16.95
600522,中天科技,震荡,一直持有,-7.22,26.05,15.65,14.52
600522,中天科技,熊市,一直持有,-9.49,22.95,14.75,13.35
600875,东方电气,牛市,一直持有,36.23,21.36,15.32,20.87
600875,东方电气,震荡,一直持有,1.21,13.48,15.68,15.87
600875,东方电气,熊市,一直持有,-27.99,34.12,17.65,12.71
601088,中国神华,牛市,一直持有,10.42,11.41,38.5,42.51
601088,中国神华,震荡,一直持有,-3.45,18.7,40.03,38.65
601088,中国神华,熊市,一直持有,-5.74,19.78,39.9,37.61
601288,农业银行,牛市,一直持有,46.86,13.7,5.42,7.96
601288,农业银行,震荡,一直持有,8.69,8.19,4.72,5.13
601288,农业银行,熊市,一直持有,2.05,10.44,4.39,4.48
601319,中国人保,牛市,一直持有,17.71,15.77,7.17,8.44
601319,中国人保,震荡,一直持有,-3.09,15.62,7.13,6.91
601319,中国人保,熊市,一直持有,8.74,8.26,5.49,5.97
601857,中国石油,牛市,一直持有,14.81,12.86,7.97,9.15
601857,中国石油,震荡,一直持有,1.48,15.8,8.13,8.25
601857,中国石油,熊市,一直持有,-21.21,27.37,9.95,7.84
601872,招商轮船,牛市,一直持有,56.16,9.57,5.93,9.26
601872,招商轮船,震荡,一直持有,-1.49,12.36,6.71,6.61
601872,招商轮船,熊市,一直持有,-30.68,34.63,9.16,6.35
603816,中国人保,牛市,一直持有,22.75,7.93,25.1,30.81
603816,中国人保,震荡,一直持有,-22.25,25.7,32.9,25.58
603816,中国人保,熊市,一直持有,-40.61,40.67,38.0,22.57
