日期,类型,价格,数量,金额,股票代码,股票名称,阶段,利润,利润率,持仓天数
2025-07-07,买入,3467.98,28.835229730275262,100000.0,999999,上证指数,牛市,,,
2025-07-16,卖出,3502.9,28.835229730275262,101006.92622218122,999999,上证指数,牛市,1006.9262221812241,1.006926222181224,9.0
2025-07-22,买入,3561.63,28.359747144476326,101006.92622218122,999999,上证指数,牛市,,,
2025-08-04,卖出,3547.16,28.359747144476326,100596.56068100064,999999,上证指数,牛市,-410.3655411805812,-0.40627465514386135,13.0
2025-08-07,买入,3637.78,27.653283233455745,100596.56068100064,999999,上证指数,牛市,,,
2025-08-28,卖出,3796.71,27.653283233455745,104991.49698529376,999999,上证指数,牛市,4394.936304293122,4.368873323840364,21.0
2024-11-28,买入,3308.28,30.22718754156238,100000.0,999999,上证指数,震荡,,,
2024-12-19,卖出,3355.9,30.22718754156238,101439.4186707292,999999,上证指数,震荡,1439.4186707291956,1.4394186707291956,21.0
2024-12-25,买入,3395.11,29.87809486901137,101439.4186707292,999999,上证指数,震荡,,,
2025-01-03,卖出,3267.08,29.87809486901137,97614.12618464966,999999,上证指数,震荡,-3825.292486079532,-3.771011837613515,9.0
2025-01-15,买入,3234.72,30.176994047289927,97614.12618464966,999999,上证指数,震荡,,,
2025-01-24,卖出,3222.88,30.176994047289927,97256.83057512976,999999,上证指数,震荡,-357.29560951990425,-0.36602858980065417,9.0
2025-02-12,买入,3312.26,29.36268003572478,97256.83057512976,999999,上证指数,震荡,,,
2025-04-01,结算,3348.44,29.36268003572478,98319.17233882227,999999,上证指数,震荡,1062.341763692515,1.0923055557232748,48.0
2024-06-05,买入,3086.05,32.40388198506181,100000.0,999999,上证指数,熊市,,,
2024-06-06,卖出,3069.44,32.40388198506181,99461.77152022813,999999,上证指数,熊市,-538.2284797718748,-0.5382284797718748,1.0
2024-06-13,买入,3038.09,32.738257102399245,99461.77152022813,999999,上证指数,熊市,,,
2024-06-18,卖出,3015.07,32.738257102399245,98708.1368417309,999999,上证指数,熊市,-753.6346784972266,-0.757712905147638,5.0
2024-06-19,买入,3029.1,32.58662204672375,98708.1368417309,999999,上证指数,熊市,,,
2024-06-21,卖出,2998.24,32.58662204672375,97702.513685369,999999,上证指数,熊市,-1005.623156361893,-1.018784457429598,2.0
2024-06-27,买入,2962.7,32.97752512416681,97702.513685369,999999,上证指数,熊市,,,
2024-07-08,卖出,2939.84,32.97752512416681,96948.64746103056,999999,上证指数,熊市,-753.866224338446,-0.7715934789212469,11.0
2024-07-12,买入,2965.61,32.690963228823264,96948.64746103056,999999,上证指数,熊市,,,
2024-07-25,卖出,2891.89,32.690963228823264,94538.66965180171,999999,上证指数,熊市,-2409.977809228847,-2.485829222318507,13.0
2024-08-01,买入,2940.12,32.15469764900811,94538.66965180171,999999,上证指数,熊市,,,
2024-08-06,卖出,2878.65,32.15469764900811,92562.12038731719,999999,上证指数,熊市,-1976.5492644845217,-2.0907309905718066,5.0
2024-08-16,买入,2877.94,32.162630349248836,92562.12038731719,999999,上证指数,熊市,,,
2024-08-23,卖出,2844.77,32.162630349248836,91495.28593863262,999999,上证指数,熊市,-1066.8344486845745,-1.1525605120329023,7.0
2024-09-11,买入,2732.73,33.48127547859928,91495.28593863262,999999,上证指数,熊市,,,
2024-09-12,卖出,2722.14,33.48127547859928,91140.71923131424,999999,上证指数,熊市,-354.5667073183722,-0.3875245633487455,1.0
